review_id,sentences_ids,sentences_texts,sentences_opinions
21399,id_8,Отдельное спасибо официанту Марии.,официанту positive
27569,id_11,"Пробовали лёгкий десерт и печёную грушу. жаль,что нет грузинских вин... но их нигде нет.",грузинских вин negative
23878,id_8,Столики есть на любой вкус и с диванами и у окна и напротив сцены.,Столики positive
33952,id_2,"Очень красивый интерьер, все гости это отметили.",интерьер positive
11532,id_14,"Хлебная корзинка понравилась, и, кстати, она бесплатная.",Хлебная корзинка positive
21856,id_5,Обслуживание на высшем уровне.,Обслуживание positive
19677,id_8,Всем рекомендую посетить это замечательное кафе!,кафе positive
33693,id_1,"Из минусов по обслуживанию только то, что долго ждали официанта с меню.",обслуживанию neutral <sep> официанта negative
18148,id_0,Подруга очень рекомендовала это место.,место positive
1434,id_5,"Нашему официанту пришлось много нам объяснять, так как с азиатской такой кухней я не знакома была.",официанту positive
13225,id_4,"Отличная атмосфера заведения, обязательно будем посещать его ещё!!!",атмосфера positive
2747,id_11,"Форель, запеченная с овощами с соусом из петрушки - вкусное, легкое и красиво оформленное блюдо.","Форель, запеченная с овощами с соусом из петрушки positive <sep> блюдо positive"
10099,id_8,Остались очень довольны данным заведением.,заведением positive
24916,id_1,"Интерьер - понравился, кухня - тоже.",Интерьер positive <sep> кухня positive
12591,id_7,"В тот день я пила американо(пожалуй самый вкусный)и ела филадельфию,осталась довольна,продукты свежие,кофе ароматный!",американо positive <sep> филадельфию positive <sep> продукты positive <sep> кофе positive
18220,id_9,"Отдельное спасибо Ирине, за ее внимательное и вежливое обслуживание.",обслуживание positive
20861,id_7,"Видимо девушка работала если не первый день,то второй точно.",девушка negative
15567,id_6,"Паста представляла из себя разбухшие макароны с непонятным соусом, а суши....суши были вкусные, но готовились они ровно 1 час 20 минут (это как я уже писала при фактически пустом ресторане).",Паста negative <sep> макароны negative <sep> соусом negative <sep> суши positive
31004,id_8,"Было полное ощущение и от вида и от вкуса, что блюда стояли уже пару суток и были просто разогреты в микроволновке.",блюда negative
35790,id_7,"Зайти пообедать - хороший выбор, что-то обсудить и посидеть спокойно - не самое подходящее место.",место neutral
32771,id_8,"Очень уютный, небольшой ресторан.",ресторан positive
1434,id_4,Обслуживающий персонал очень приятный.,Обслуживающий персонал positive
32206,id_6,"Суши в Асахи так себе, но их можно и не заказывать - есть отличные роллы, в любой по вашему желанию добавят сыр Филадельфия, кроме того, есть роллы без риса; неплохие сашими, замечательные легкие салаты (с лососем, крабом, тунцом), порции салатов большие, из горячего - душевный лосось терияки.",Суши neutral <sep> роллы positive <sep> сыр Филадельфия positive <sep> роллы без риса positive <sep> сашими neutral <sep> салаты positive <sep> порции салатов positive <sep> лосось терияки positive
11421,id_0,"Была в этом ресторане только однажды, но с удовольствием схожу еще раз.",ресторане positive
28112,id_15,"Все хорошо,быстро,но видно что официанты не профи.",официанты neutral
33598,id_5,"Предложили хлеб на выбор ( в дальнейшем за вечер неоднократно подходил молодой человек и предлагал хлеб ""какой желаете"") и три вида масла.",молодой человек positive
30808,id_5,"Нас обслуживал официант Бахрам, спасибо ему.",официант positive
21399,id_2,"Интерьер мне лично очень понравился, чем-то напомнил ресторан ""Русский Китч"".",Интерьер positive
20086,id_9,"По качеству салатов претензий не было, а вот десерты не впечатлили, нам показалось, что готовятся они не в ресторане.",салатов neutral <sep> десерты negative
36166,id_1,Регулярно с друзьями посещаем данный ресторан!,ресторан positive
37070,id_1,"Все очень понравилось: кухня, интерьер,еда , да и чек на шестерых человек с алкоголем порадовал :)",кухня positive <sep> интерьер positive <sep> еда positive <sep> чек positive
20397,id_5,"Малиновое ""Аптекарское"" - очень оригинально!","Малиновое ""Аптекарское"" positive"
36017,id_5,"Меню ресторана достаточно утонченное, но не блещет 10 салатами, 10 вторыми блюдами и т.д.",Меню neutral
12591,id_5,"Мужчина ,не сомневаясь ответил,что на улице Московской есть чудесное кафе ""White-Rabbit"".","кафе ""White-Rabbit"" positive"
12814,id_4,"И что больше всего удивили и не понравилось, то что в меню в составе десерта было написаны одни ингридиенты, а реальном блюде часть инегридиентов я так и не нашел!",блюде negative
2364,id_5,"Атмосфера была отличная, здорово повеселились!!",Атмосфера positive
12131,id_0,"Была в Даче 2 раза, и думаю, при удобном случае приду еще!!!",Даче positive
31778,id_10,Да и цены для заведения такого уровня не могут не радовать-настоящее пиво от 100 руб.,заведения positive <sep> пиво positive
32856,id_1,"Были впервые, остались довольны, кухня и обслуживание превзошли наши ожидание, не везде встречают так, как будто мы пришли в гости к друзьям))))",кухня positive <sep> обслуживание positive
13835,id_2,"Ресторан небольшой, но для нашего торжества места было достаточно, веранда тоже была в нашем распоряжении.",Ресторан neutral
31004,id_9,"Никакой соли, никаких специй, совершенно пресная еда (хотя, не спорю, кто-то любит и так, но официанты могли бы предупредить и поставить на стол побольше специй)!",соли negative <sep> специй negative <sep> еда negative <sep> официанты negative
3202,id_7,Всем советую посетить Нельсон паб и получить там только хорошие эмоции!!!,Нельсон паб positive
1308,id_5,"И вкус замечательный, у нас была земляника и манго.",земляника positive <sep> манго positive
13252,id_9,"Очень вкусный чай по восточному с инжирным вареньем, он правда, достаточно дорогой.",чай по восточному с инжирным вареньем negative <sep> чай по восточному с инжирным вареньем positive
31004,id_5,Интерьер интересный.,Интерьер positive
21059,id_7,"Зал очень большой, светлый,кроме нас там было еще 2 банкета,но за счет большого пространства никто никому не мешал.",Зал positive
33952,id_6,Ребята вы супер!,Ребята positive
27841,id_9,"Интерьер неплохой, жалко только, что диванчики и плазменная панель только в зале для некурящих.",Интерьер neutral
15335,id_6,"В этом ресторане понравилось все и зажигательные танцы(которые были вечером) и обслуживание, и еда, и очень вкусные коктели!!",танцы positive <sep> обслуживание positive <sep> еда positive <sep> коктели positive
34575,id_4,"Чудесная сервировка, очень много еды на столе))))",сервировка positive <sep> еды positive
32840,id_11,"Еще стоит отметить прекрасный, уютный и стильный интерьер и безупречно подобранный музыкальный фон (для тех, кому это важно).",интерьер positive <sep> музыкальный фон positive
1200,id_0,"Праздновали день рождения,все понравилось, удалось найти место,которое сочетало бы в себе уютный интерьер (первый зал), вкусную еду,приятный персонал и оооочень демократичные цены ( на счет скидка 33% в честь дня рождения),но все таки было несколько очень странных моментов.1.",место positive <sep> интерьер positive <sep> первый зал positive <sep> еду positive <sep> персонал positive
11355,id_1,"Посетили вчера Твинс с подругой, в целом все очень понравилось!!",Твинс positive
15363,id_2,"Единственный минус это то, что столики (справа от входа) поставлены очень близко друг к другу, и если бы рядом со мной столик был занят, мне было бы уже не так комфортно.",столики negative
33252,id_2,"Выбрали именно этот ресторан , прежде всего, из-за его пивоварни, ну и, как оказалось, у друга была дисконтная карта этого заведения :)",пивоварни positive
28275,id_6,"Девушка, которая обслуживала наш столик (не знаю, как зовут, к сожалению) - внимательна и предупредительна, с удовольствием отвечала на все наши вопросы.",Девушка positive
16378,id_2,"Интерьер - В целом достаточно тематично, исключая уже упомянутую кем-то колонку в зале и может быть недостаток света в главном зале, мне, как и многим, кто здесь писал больше нравится светлый зал, он намного уютнее, единственное - стоит обратить внимание на чистоту скатертей, не всегда идеально.",Интерьер neutral <sep> колонку negative <sep> света в главном зале negative <sep> светлый зал positive <sep> чистоту скатертей negative
29298,id_0,"В целом, мне и моим друзьям очень нравится этот ресторан, обслуживание там неплохое, официанты и администраторы всегда стараются помочь.",ресторан positive <sep> обслуживание neutral <sep> официанты positive <sep> администраторы positive
34196,id_6,"Честно говоря, приготовленные блюда по вкусу чень похожи на блюда в ресторанах Тайланда, хотя мясной стейк немного не удался.",блюда neutral <sep> мясной стейк negative
